Player,Pick,Minutes Played,DraftYear
Kirk Snyder,16,16.8,2004
Josh Smith,17,32.4,2004
J.R. Smith,18,26.9,2004
Dorell Wright,19,22.4,2004
Jameer Nelson,20,27.9,2004
Pavel Podkolzin,21,4.7,2004
Viktor Khryapa,22,16.4,2004
Sergei Monia,23,13.2,2004
Delonte West,24,27.4,2004
Tony Allen,25,22.0,2004
Kevin Martin,26,30.2,2004
Sasha VujaÄiÄ,27,15.3,2004
Beno Udrih,28,21.9,2004
David Harrison,29,14.2,2004
Round 2,,Per Game,2004
Player,Pk,MP,2004
Anderson VarejÃ£o,30,23.9,2004
Jackson Vroman,31,12.8,2004
Peter John Ramos,32,3.3,2004
Lionel Chalmers,33,12.0,2004
Donta Smith,34,9.2,2004
Andre Emmett,35,5.2,2004
Antonio Burks,36,9.7,2004
Royal Ivey,37,12.5,2004
Chris Duhon,38,25.6,2004
Albert Miralles,39,,2004
Justin Reed,40,10.6,2004
David Young,41,,2004
Viktor Sanikidze,42,,2004
Trevor Ariza,43,29.5,2004
Tim Pickett,44,,2004
Bernard Robinson,45,14.9,2004
Ha Seung-Jin,46,6.9,2004
Pape Sow,47,11.6,2004
Ricky Minard,48,,2004
Sergei Lishouk,49,,2004
Vassilis Spanoulis,50,8.8,2004
Christian Drejer,51,,2004
Romain Sato,52,,2004
Matt Freije,53,14.0,2004
Rickey Paulding,54,,2004
Luis Flores,55,4.8,2004
Marcus Douthit,56,,2004
Sergei Karaulov,57,,2004
Blake Stepp,58,,2004
Rashad Wright,59,,2004
Andrew Bogut,1,28.1,2005
Marvin Williams,2,28.1,2005
Deron Williams,3,34.2,2005
Chris Paul,4,33.7,2005
Raymond Felton,5,29.7,2005
Martell Webster,6,24.0,2005
Charlie Villanueva,7,20.7,2005
Channing Frye,8,22.2,2005
Ike Diogu,9,12.4,2005
Andrew Bynum,10,25.6,2005
Fran VÃ¡zquez,11,,2005
Yaroslav Korolev,12,4.9,2005
Sean May,13,15.7,2005
Rashad McCants,14,20.2,2005
Antoine Wright,15,19.2,2005
Joey Graham,16,16.2,2005
Danny Granger,17,31.5,2005
Gerald Green,18,19.8,2005
Hakim Warrick,19,20.2,2005
Julius Hodge,20,4.3,2005
Nate Robinson,21,22.5,2005
Jarrett Jack,22,27.8,2005
Francisco GarcÃ­a,23,21.6,2005
Luther Head,24,22.4,2005
Johan Petro,25,15.4,2005
Jason Maxiell,26,18.4,2005
Linas Kleiza,27,20.0,2005
Ian Mahinmi,28,16.8,2005
Wayne Simien,29,9.9,2005
David Lee,30,29.3,2005
Round 2,,Per Game,2005
Player,Pk,MP,2005
Salim Stoudamire,31,17.0,2005
Daniel Ewing,32,13.3,2005
Brandon Bass,33,21.6,2005
C.J. Miles,34,20.4,2005
Ricky SÃ¡nchez,35,,2005
Ersan Ä°lyasova,36,23.0,2005
Ronny Turiaf,37,17.0,2005
Travis Diener,38,14.9,2005
Von Wafer,39,12.4,2005
Monta Ellis,40,34.8,2005
Roko UkiÄ,41,11.6,2005
Chris Taft,42,8.5,2005
Mile IliÄ,43,1.2,2005
Martynas AndriuÅ¡keviÄius,44,1.5,2005
Lou Williams,45,24.1,2005
Erazem Lorbek,46,,2005
Bracey Wright,47,12.5,2005
MickaÃ«l Gelabale,48,16.2,2005
Andray Blatche,49,22.1,2005
Ryan Gomes,50,27.6,2005
Robert Whaley,51,9.2,2005
Axel Hervelle,52,,2005
Orien Greene,53,11.9,2005
Dijon Thompson,54,5.8,2005
Lawrence Roberts,55,13.2,2005
Amir Johnson,56,21.1,2005
Marcin Gortat,57,25.7,2005
UroÅ¡ Slokar,58,3.6,2005
Cenk Akyol,59,,2005
Alex Acker,60,7.8,2005
Andrea Bargnani,1,28.7,2006
LaMarcus Aldridge,2,33.7,2006
Adam Morrison,3,20.4,2006
Tyrus Thomas,4,19.7,2006
Shelden Williams,5,15.5,2006
Brandon Roy,6,35.5,2006
Randy Foye,7,25.6,2006
Rudy Gay,8,30.9,2006
Patrick O'Bryant,9,5.8,2006
Mouhamed Sene,10,5.5,2006
